route_long_name,route_short_name,agency_id,route_type,route_id
Bidadi ⇔ Gullahatti Kaval,377-HG,1,3,2j6
Bidadi ⇔ Harohalli,377-H,1,3,1c7
Bidadi ⇔ KR Market (Kalasipalya),231-E BDD-KMT,1,3,147
Bidadi ⇔ Nelamangala Bus Station,377-A,1,3,xf
Bidadi ⇔ Shanthinagara Bus Station,226-M BDD-SNBS,1,3,1n9
Bidadi ⇔ Vidhana Soudha,226-N VSD,1,3,2kq
Bilavaradahalli ⇔ Depot-34 Gate,365-D BVH-D34,1,3,k6
Bishop Coton Girls High School ⇔ 5th Phase Yelahanka New Town,290-EA BCGHS-YSTF,1,3,11i
Bishop Coton Girls High School ⇔ Kempegowda Bus Station,KBS-BCGHS,1,3,6h
Bommanahalli ⇔ Jambu Savari Dinne,362 BMH-BGR-JSD,1,3,m6
Bommanahalli ⇔ Jigani APC Circle,344-J,1,3,193
Brigade Meadows Kanakapura Road ⇔ Banashankari Bus Station,211AC BGM-BSK,1,3,zx
Brigade Meadows Kanakapura Road ⇔ Kempegowda International Airport,KIA-5D,1,3,1ib
Brigade Road ⇔ Electronic City Wipro Main Gate,G-3,1,3,2rp
Budigere Cross ⇔ Depot-41 Gate,328-HF BDGC-D41,1,3,1vh
Budigere Cross ⇔ Varthur Kodi,328-HF,1,3,27v
Bukkasagara ⇔ Depot-34 Gate,365-S MRD-D34G,1,3,1kd
Byadarahalli ⇔ Peenya 2nd stage,BC-7B BDH-JHC-PSS,1,3,22r
Byadarahalli ⇔ Peenya Satellite Bus Station (Basaveshwara),BC-7B BDH-PSBS,1,3,1tx
Byranayakanahalli ⇔ Mantanakurchi,258-SB BNH-MNTK,1,3,2qy
Byrathi Bande ⇔ Anagalipura,295-B BYB-D48G-AGP,1,3,1e9
Byrathi Bande ⇔ Kada Agrahara,296-N D48G-BBD-KDA,1,3,240
Byrathi Bande ⇔ Kadugodi Bus Station,500-QK BBD-KDG,1,3,237
CBI ⇔ Kempegowda Bus Station,114-C CBI-RTNPS-KBS,1,3,20b
