stop_name,stop_id,stop_lat,stop_lon
Sampigehalli Bannerughatta,2z9,12.80519,77.57879
Sampigehalli Bannerughatta,4fs,12.80536,77.57887
Sanabil Education Trust,3uo,12.84441,77.60334
Sangam Circle,37o,12.91756,77.57789
Sangam Circle,64o,12.91704,77.57875
Sangam Circle,ip,12.91763,77.57733
Sanjay Gandhi Hospital,4ix,12.927,77.59299
Sanjay Gandhi Hospital,4iz,12.92707,77.59309
Sanjay Gandhi Hospital,r0,12.92687,77.5936
Sanjay Gandhi Nagara,24q,13.01872,77.52633
Sanjay Gandhi Nagara,ym,13.01886,77.52627
Sanjayanagara,2g1,13.03404,77.57571
Sanjayanagara,ow,13.03421,77.57565
Sanjeeva Nagara,65r,13.28563,77.53656
Sanjeeva Nagara,6af,13.28564,77.53651
Sanjeevanapalya,3x3,13.0808,77.15454
SanjeeviniNagara,1g3,13.05763,77.59146
SanjeeviniNagara,1mp,13.05759,77.59144
Sanna Amanikere,14l,13.23411,77.69477
Sanna Amanikere,2xh,13.23419,77.6946
Sannathammanahalli,1qn,13.04778,77.76062
Sannathammanahalli,36o,13.04814,77.76054
Santekatte,3hv,12.8067,77.51063
Santekatte,6y,12.80664,77.51056
Santhe Devanagondhi,26g,12.96581,77.83936
Santhe Devanagondhi,36i,12.96585,77.83932
Santhe Gate,5mb,13.07696,77.79507
Santhe Gate,bn,13.07669,77.79532
Sapalamma Devi Temple,5kb,13.09802,77.91101
Sapthagiri Badavane,oq,12.9222,77.53457
Sapthagiri College,515,13.06675,77.50335
Sapthagiri College,5o4,13.06685,77.50328
Sapthagiri Convention Hall,388,13.0509,77.75676
Sapthagiri Convention Hall,63i,13.05027,77.75648
Sapthagiri Hospital,1mn,13.07067,77.50387
Sapthagiri Hospital,5c3,13.07066,77.50395
Sapthagiri Layout,4n9,13.1045,77.6106
Sapthagiri Layout,5xm,13.10458,77.61045
Sarakari Guttahalli Cross,1jg,13.04637,77.7849
Sarakari Guttahalli Cross,84,13.04632,77.78485
Sarakki,1cv,12.9097,77.57299
Sarakki,3td,12.90966,77.57288
